County,2020,2023,Pop Growth from 2020-2023,Latitude,Longitude
"Maricopa County, Arizona",4445059,4585871,140812,15.6836396,-87.3329197
"Collin County, Texas",1075736,1195359,119623,33.1609629,-96.6060984
"Harris County, Texas",4734792,4835125,100333,29.8119769,-95.3741247
"Denton County, Texas",914398,1007703,93305,33.1838787,-97.1413417
"Polk County, Florida",730158,818330,88172,27.9448537,-81.7268789
"Fort Bend County, Texas",829109,916778,87669,29.511218,-95.7807348
"Montgomery County, Texas",625291,711354,86063,30.301949,-95.5065944
"Williamson County, Texas",615552,697191,81639,30.6580927,-97.6041649
"Bexar County, Texas",2015501,2087679,72178,29.4263987,-98.5104781
"Riverside County, California",2422993,2492442,69449,33.7219991,-116.0372472
"Hillsborough County, Florida",1466255,1535564,69309,27.9184543,-82.3488057
"Lee County, Florida",765547,834573,69026,26.5999265,-81.8823135
"Tarrant County, Texas",2115840,2182947,67107,32.7513658,-97.335696
"Pasco County, Florida",566156,632996,66840,28.2996183,-82.4522702
"Clark County, Nevada",2274887,2336573,61686,36.3467726,-115.090737
"Wake County, North Carolina",1130483,1190275,59792,35.7979355,-78.6118311
"Utah County, Utah",663595,719174,55579,40.177058,-111.69107185434031
"Pinal County, Arizona",430187,484239,54052,15.6836396,-87.3329197
"Osceola County, Florida",391141,437784,46643,28.0443842,-81.1437541
"Mecklenburg County, North Carolina",1117423,1163701,46278,35.2356385,-80.8139485
"Horry County, South Carolina",353765,397478,43713,33.9204504,-78.9578973
"St Johns County, Florida",277099,320110,43011,29.9032284,-81.4145468
"St Lucie County, Florida",331441,373586,42145,27.3900897,-80.457904
"Orange County, Florida",1431679,1471416,39737,28.495156,-81.3111658
"Palm Beach County, Florida",1494282,1533801,39519,26.6279798,-80.4494174
"Manatee County, Florida",401619,441095,39476,27.5213933,-82.3801566
"Kaufman County, Texas",147140,185690,38550,32.601641,-96.3375126
"Travis County, Texas",1296613,1334961,38348,30.2878569,-97.7561392
"Lake County, Florida",386216,424462,38246,28.7006859,-81.78994
"Hays County, Texas",243968,280486,36518,30.0447901,-98.0393127
"Brevard County, Florida",608775,643979,35204,28.2100203,-80.7997185
"Volusia County, Florida",555776,590357,34581,29.0533409,-81.1310761
"Duval County, Florida",997784,1030822,33038,30.3540073,-81.6632109
"Sarasota County, Florida",436237,469013,32776,27.1813609,-82.3609195
"Marion County, Florida",377472,409959,32487,29.2182454,-82.0626948
"Greenville County, South Carolina",527249,558036,30787,34.8550021,-82.3356457
"Comal County, Texas",163659,193928,30269,29.7979704,-98.2690787
"Ellis County, Texas",194317,222829,28512,32.3347829,-96.7920233
"Weld County, Colorado",331458,359442,27984,40.5632344,-104.4835287
"Spartanburg County, South Carolina",329379,356698,27319,34.937029,-81.9955954
"Collier County, Florida",377310,404310,27000,26.087964,-81.3794941
"Ada County, Idaho",498278,524673,26395,43.4136539,-116.2367421
"Hidalgo County, Texas",872856,898471,25615,26.3530256,-98.216445
"Brazoria County, Texas",373493,398938,25445,29.18161,-95.4993375
"Gwinnett County, Georgia",958359,983526,25167,33.9566869,-84.0227467
"Sussex County, Delaware",238629,263509,24880,38.6908097,-75.3691421
"Canyon County, Idaho",233013,257674,24661,43.6435692,-116.7017144
"Benton County, Arkansas",286618,311013,24395,36.3456186,-94.2670404
"Johnston County, North Carolina",217808,241955,24147,35.5285816,-78.3768021
"Parker County, Texas",149552,173494,23942,32.77725975,-97.80455986920202
"Rutherford County, Tennessee",343298,367101,23803,35.8563421,-86.4205249
"Berkeley County, South Carolina",231533,255217,23684,33.1595951,-79.9070461
"Douglas County, Colorado",360323,383906,23583,39.3420437,-104.9468945
"Hamilton County, Indiana",348996,371645,22649,40.0749813,-86.0498885
"Rockwall County, Texas",109158,131307,22149,32.8923464,-96.4066987
"Madison County, Alabama",390503,412600,22097,34.7736807,-86.5675095
"Johnson County, Texas",180964,202906,21942,32.3766071,-97.3568623
"Brunswick County, North Carolina",138168,159964,21796,34.0718195,-78.1914215
"Sumter County, Florida",130290,151565,21275,28.6689748,-82.076402
"Bell County, Texas",372258,393193,20935,31.0081659,-97.4314413
"Ocean County, New Jersey",638465,659197,20732,39.977818,-74.3319287
"Frederick County, Maryland",272786,293391,20605,39.4608481,-77.4118135
"Washington County, Utah",182015,202452,20437,37.2393471,-113.525776
"Canadian County, Oklahoma",155434,175829,20395,35.5438102,-98.0031532
"San Joaquin County, California",780617,800965,20348,37.9372901,-121.2773719
"Baldwin County, Alabama",233227,253507,20280,30.5677527,-87.7324392
"Knox County, Tennessee",480516,500669,20153,35.9859998,-83.9375598
"Forsyth County, Georgia",252901,272887,19986,34.235309,-84.1335644
"Broward County, Florida",1943398,1962531,19133,26.1598074,-80.4623642
"Montgomery County, Tennessee",221281,239872,18591,36.4803824,-87.3786221
"Chesterfield County, Virginia",365311,383876,18565,14.0146616,-88.5743855
"Cherokee County, Georgia",268156,286602,18446,34.2391265,-84.4720272
"Charlotte County, Florida",187995,206134,18139,26.9013269,-81.9156799
"Pima County, Arizona",1045175,1063162,17987,15.6836396,-87.3329197
"Placer County, California",405927,423561,17634,39.1012064,-120.7650606
"Hernando County, Florida",195624,212807,17183,28.5710156,-82.4605068
"Union County, North Carolina",239470,256452,16982,34.9795158,-80.5128209
"Delaware County, Ohio",215166,231636,16470,40.2317686,-82.9651045
"Bay County, Florida",174525,190769,16244,30.2481693,-85.6593633
"Hampshire County, Massachusetts",146616,162502,15886,42.3432499,-72.6213339
"Clark County, Washington",505338,521150,15812,45.7669047,-122.4940866
"Liberty County, Texas",92479,108272,15793,30.0856736,-94.7856262
"Flagler County, Florida",116028,131439,15411,29.4844412,-81.2917415
"Wilson County, Tennessee",148659,163674,15015,36.1466658,-86.3119998
"Chester County, Pennsylvania",534830,549784,14954,39.9829308,-75.7652424
"Williamson County, Tennessee",249552,264460,14908,35.8772991,-86.8978708
"Snohomish County, Washington",829933,844761,14828,48.0074736,-121.7304882
"Washington County, Arkansas",246774,261549,14775,35.9672625,-94.2280656
"Guadalupe County, Texas",173697,188454,14757,29.6480061,-97.8279576
"Lexington County, South Carolina",295047,309528,14481,33.8986841,-81.275054
"Charleston County, South Carolina",409899,424367,14468,32.8152646,-79.7996814
"York County, South Carolina",284028,298320,14292,34.9603293,-81.1655408
"Santa Rosa County, Florida",189011,203162,14151,30.6964502,-87.0097524
"Hall County, Georgia",203473,217267,13794,34.2905901,-83.8194028
"Loudoun County, Virginia",422705,436347,13642,14.0146616,-88.5743855
"Paulding County, Georgia",169580,183164,13584,33.8908526,-84.8569161
"Clay County, Florida",218951,232439,13488,29.9766524,-81.8470596
"Hunt County, Texas",100254,113347,13093,33.1161567,-96.0808922
"Capitol Planning Region, Connecticut",962436,975328,12892,41.79083215,-72.54229312563935
"Adams County, Colorado",520500,533365,12865,39.8714085,-104.2701374
